trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	trial.started	fixation.started	fixation.stopped	grating.started	key_resp.started	grating.stopped	trial.stopped	key_resp.keys	key_resp.corr	key_resp.rt	key_resp.duration	tilt	participant	session	date	expName	psychopyVersion	frameRate	expStart
84	0	84	0	138.7439333		138.7321968	138.7439333	139.7440378	139.7440378	139.7440378	140.044057	140.4292287	up	0	0.6690172	None	-2	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
85	0	85	0	140.4441568		140.4323436	140.4441568	141.4441736	141.4441736	141.4441736	141.7440331	142.1287811	down	1	0.6766926	None	3	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
86	0	86	0	142.1441014		142.1317914	142.1441014	143.1441095	143.1441095	143.1441095	143.4441419	143.6461203	up	1	0.5003472	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
87	0	87	0	143.6607686		143.6491103	143.6607686	144.6609112	144.6609112	144.6609112	144.9609471	145.3125115	down	1	0.6478957	None	-4	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
88	0	88	0	145.3273945		145.3160104	145.3273945	146.3277138	146.3277138	146.3277138	146.6276575	146.712243	up	0	0.3702409	None	1	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
89	0	89	0	146.7273854		146.7153176	146.7273854	147.7277436	147.7277436	147.7277436	148.0275151	148.4459762	up	0	0.7165576	None	1	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
90	0	90	0	148.4607619		148.4490276	148.4607619	149.4609387	149.4609387	149.4609387	149.7608653	149.7954073	down	0	0.3213141	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
91	0	91	0	149.8107549		149.7984256	149.8107549	150.811143	150.811143	150.811143	151.1108542	151.278809	up	1	0.4548912	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
92	0	92	0	151.2941172		151.2821183	151.2941172	152.2942573	152.2942573	152.2942573	152.5940054	152.8950631	down	1	0.5892459	None	-4	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
93	0	93	0	152.9107509		152.8974856	152.9107509	153.9109546	153.9109546	153.9109546	154.2109514	154.6622208	up	1	0.7385576	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
94	0	94	0	154.6773833		154.6652474	154.6773833	155.6776922	155.6776922	155.6776922	155.9777308	156.1288381	up	1	0.4420445	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
95	0	95	0	156.143919		156.1319543	156.143919	157.1442804	157.1442804	157.1442804	157.4440538	157.6455395	up	1	0.4860227	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
96	0	96	0	157.6607801		157.6487279	157.6607801	158.661036	158.661036	158.661036	158.9610657	159.2799102	down	1	0.6171561	None	-3	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
97	0	97	0	159.2941054		159.2828284	159.2941054	160.2943677	160.2943677	160.2943677	160.5941414	160.7954873	up	1	0.4901524	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
98	0	98	0	160.8108389		160.7986808	160.8108389	161.8112022	161.8112022	161.8112022	162.1110069	162.5289889	up	1	0.7141273	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
99	0	99	0	162.5441568		162.5324215	162.5441568	163.5442426	163.5442426	163.5442426	163.844158	164.0121908	down	1	0.4538814	None	-5	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
